id,gender,department,start_date,salary,job_title,region_id
1,Female,Computers,2009-10-02,67470,Structural Engineer,2
2,Male,Sports,2008-03-31,71869,Financial Advisor,2
3,Male,Automotive,2009-07-12,101768,Recruiting Manager,3
4,Female,Jewelery,2014-12-25,96897,Desktop Support Technician,3
5,Female,Grocery,2002-09-19,63702,Software Engineer III,7
6,Male,Tools,2013-08-21,118497,Executive Secretary,1
7,Male,Computers,2006-05-14,65889,Dental Hygienist,6
8,Female,Toys,2003-08-12,84427,Safety Technician I,4
9,Male,Jewelery,2005-09-07,108657,Sales Associate,2
10,Male,Movies,2013-03-13,108093,Sales Representative,1
11,Female,Jewelery,2003-11-27,121966,Community Outreach Specialist,7
12,Male,Clothing,2003-02-04,44179,Data Coordiator,7
13,Male,Baby,2002-10-13,85227,Compensation Analyst,3
14,Female,Computers,2006-10-22,59763,Software Test Engineer III,4
15,Female,Games,2007-03-04,141139,Community Outreach Specialist,7
16,Female,Baby,2008-03-14,106659,Web Developer III,1
17,Female,Kids,2011-05-04,148952,Programmer IV,6
18,Male,Home,2014-11-03,93804,Geologist II,5
19,Male,Electronics,2004-09-22,109890,VP Sales,3
20,Female,Movies,2007-11-22,115274,VP Quality Control,5
21,Female,Industrial,2005-08-12,78052,Software Consultant,3
22,Male,Automotive,2011-12-26,144724,Marketing Assistant,2
23,Female,Jewelery,2001-04-12,126103,Senior Developer,4
24,Male,Garden,2006-06-29,144965,Nurse Practicioner,2
25,Male,Toys,2004-06-04,70613,Business Systems Development Analyst,1
26,Female,Home,2011-05-30,90746,Dental Hygienist,2
27,Female,Home,2005-05-26,78698,Executive Secretary,2
28,Female,Books,2008-03-02,63336,Sales Representative,4
29,Female,Clothing,2013-07-05,95436,Quality Engineer,3
30,Male,Beauty,2012-02-17,83144,Account Representative III,2
31,Female,Tools,2012-10-21,113507,Accountant I,7
32,Male,Games,2014-04-07,78245,Nuclear Power Engineer,6
33,Male,Movies,2000-03-21,87057,Assistant Manager,1
34,Male,Movies,2002-11-28,120579,Assistant Media Planner,6
35,Female,Books,2013-06-13,94884,Librarian,7
36,Male,Outdoors,2008-12-28,107222,Payment Adjustment Coordinator,3
37,Female,Home,2000-05-20,61739,Quality Engineer,1
38,Female,Garden,2012-01-25,82026,Nurse,2
39,Male,Baby,2011-07-02,79339,Civil Engineer,1
40,Female,Clothing,2011-08-20,76809,Quality Engineer,6
41,Female,Baby,2001-05-10,89680,Web Developer III,6
42,Male,Computers,2008-04-01,125668,Executive Secretary,7
43,Male,Sports,2009-05-29,82960,Account Representative III,6
44,Male,Movies,2013-12-21,113857,Developer III,2
45,Male,Automotive,2002-01-24,108378,Electrical Engineer,7
46,Male,Outdoors,2011-12-11,133424,Junior Executive,7
47,Female,Clothing,2013-08-30,42797,Software Engineer III,5
48,Male,Computers,2004-04-26,134940,Financial Advisor,4
49,Male,Home,2008-12-21,119471,Editor,6
